Surname,Awards,Education,Dblp
Valiant,3,"Valiant was educated at King's College, Cambridge,[14][6] Imperial College London,[14][6] and the University of Warwick where he received a PhD in computer science in 1974.[15][1]",0
Vapnik,1,"Vladimir Vapnik was born to a Jewish family[3] in the Soviet Union. He received his master's degree in mathematics from the Uzbek State University, Samarkand, Uzbek SSR in 1958 and Ph.D in statistics at the Institute of Control Sciences, Moscow in 1964. He worked at this institute from 1961 to 1990 and became Head of the Computer Science Research Department.[4]",84
Vardi,1,Vardi was an undergraduate student at Bar-Ilan University and received his Master of Science degree from the Weizmann Institute of Science.[4] His PhD was supervised by Catriel Beeri and awarded by the Hebrew University of Jerusalem in 1981.[3],0
Vaughan,7,Education information not found,0
Vauquois,0,Education information not found,12
Vazirani,1,Education information not found,0
Veloso,9,"Manuela Veloso received her Licenciatura and Master of Science degree in electrical engineering from Lisbon's Instituto Superior Técnico in 1980 and 1984 respectively. She then attended Boston University, and received a Master of Arts in computer science in 1986.[citation needed] She moved to Carnegie Mellon University and received her Ph.D. in computer science there in 1992. Her thesis Learning by Analogical Reasoning in General Purpose Problem Solving was supervised by Jaime Carbonell.[3]",0
Vernadat,0,Education information not found,40
Veryard,0,Education information not found,9
Vilkomir,0,Education information not found,39
Vitanyi,8,Education information not found,0
Viterbi,7,"Viterbi attended the Boston Latin School, and then entered Massachusetts Institute of Technology (MIT) in 1952, studying electrical engineering. He received both BS and MS in electrical engineering in 1957 from MIT. He was elected to membership in the honor society Eta Kappa Nu in 1956 through the MIT chapter. He worked at Raytheon and later at Jet Propulsion Laboratory (JPL) in Pasadena, California, where he started working on telemetry for uncrewed space missions, also helping to develop the phase-locked loop. Simultaneously, he was carrying out PhD studies at the University of Southern California, where he graduated in 1963 in digital communications.[3]",0
Vitter,1,"Vitter was born and raised in New Orleans, Louisiana. He earned a Bachelor of Science in mathematics with highest honors from the University of Notre Dame in 1977, a Ph.D. in computer science from Stanford University under the supervision of Donald Knuth in 1980 and a master of business administration from Duke University in 2002.",307
Vixie,0,Education information not found,35
Wada,0,Education information not found,7
Wagner,0,Education information not found,8
Waltz,1,"Waltz was born in Boston, Massachusetts in 1943. He attended the Massachusetts Institute of Technology (MIT) where, as a student of artificial intelligence pioneer Marvin Minsky, he was part of the MIT Artificial Intelligence Laboratory and received S.B. (1965), M.S. (1968) and Ph.D. (1972) degrees, all in Electrical Engineering. His Ph.D. dissertation on computer vision[9] initiated the field of constraint propagation,[10] which allowed a computer program to generate a detailed three-dimensional view of an object given a two dimensional drawing with shadows.",0
Wang,0,"Wang received a summa cum laude bachelor's degree in mathematics and computer science from the University of Minnesota (advisor: Dennis Hejhal), an M.S. in mathematics and an M.S. in computer science, both from Stanford University, and a Ph.D. degree in medical information sciences from Stanford University's Biomedical Informatics and Database groups (advisor: Gio Wiederhold, committee members: Hector Garcia-Molina and Stephen T.C. Wong).",87
Ward,0,Education information not found,0
Warmuth,0,"After studying computer science at the University of Erlangen–Nuremberg, earning a diploma in 1978, Warmuth went to the University of Colorado Boulder for graduate study, earning a master's degree there in 1980 and completing his Ph.D. in 1981.[2] His doctoral dissertation, Scheduling on Profiles of Constant Breadth, was supervised by Harold N. Gabow.[3] After postdoctoral research at the University of California, Berkeley and Hebrew University of Jerusalem, Warmuth joined the University of California, Santa Cruz in 1983, became Distinguished Professor there in 2017, and retired as a professor emeritus in 2018.  He was a visiting faculty member at Google Brain from 2019 to 2020.[4]",241
Warren,0,"Warren received a Ph.D.[1] in artificial intelligence from the University of Edinburgh in 1977 under advisor Robert Kowalski, and (a second advisor) Donald Michie.[2]",0
Warwick,2,Education information not found,118
Weglarz,0,Education information not found,72
Wadler,0,"Wadler received a Bachelor of Science degree in mathematics from Stanford University in 1977, and a Master of Science degree in computer science from Carnegie Mellon University in 1979.[6] He completed his Doctor of Philosophy in computer science at Carnegie Mellon University in 1984. His thesis was entitled ""Listlessness is better than laziness"" and was supervised by Nico Habermann.[7][8]",168
Wegner,2,"Wegner was educated at the University of Cambridge and received a Post-Graduate Diploma in Numerical Analysis and Automatic Computing in 1954, at a time when there were no PhD programs in computer science.[2] He was awarded a PhD from the University of London in 1968 for his book Programming Languages, Information Structures, and Machine Organization, with Maurice Wilkes listed as his supervisor.[10][1]",102
